,date,year,month,account_link,name,avatar_link
0,2014.11,2014,11,https://reviews.yandex.ru/user/nntw3q0a680p7v9nk5wxcehz4g,Gökmen GÜREŞÇİ,https://avatars.mds.yandex.net/get-yapic/26057/enc-e1fd4052e060b03cc0d884c0f7c9dd2f3cb39f0f2c39bbc7de853c2b99b61e0f/normal
1,2014.11,2014,11,https://reviews.yandex.ru/user/rzwgdbrnwfmhm5v933cdd0ezx0,satishb3,https://avatars.mds.yandex.net/get-yapic/20706/enc-620fa155f37dd7b0691f395d730e0a7ab7322137af20a436e8ca21c637075c08/normal
2,2014.11,2014,11,https://reviews.yandex.ru/user/522c5qxrc02njjwhhr5yyg5mmg,abhijeth0423,https://avatars.mds.yandex.net/get-yapic/0/0-0/normal
3,2014.11,2014,11,https://reviews.yandex.ru/user/7c7hwe2mxaam5uvpk6pud6f6kc,Simone Memoli,https://avatars.mds.yandex.net/get-yapic/21377/enc-8e5da1ea8988c0607e43536fa5db459576c632649bb865ff6839c56e8c8bd5d1/normal
4,2014.11,2014,11,https://reviews.yandex.ru/user/c0pawaktxzueky65repf960y7m,Deepak Kivande,https://avatars.mds.yandex.net/get-yapic/25358/OuBLmltXuQy9iDbWBsf3SoHKgI-1/normal
5,2014.11,2014,11,https://reviews.yandex.ru/user/49h76qqe8vxyv6hr19gbqpnc38,Арсений,https://avatars.mds.yandex.net/get-yapic/39460/mCwcVcOaQvAGznWGvLw26wvsPg-1/normal
6,2014.11,2014,11,https://reviews.yandex.ru/user/u793wbwtmp98bahv14jc7f85h4,Сергей,https://avatars.mds.yandex.net/get-yapic/21493/enc-8944baff31052a38340a04ae113dcfc1/normal
7,2014.11,2014,11,https://reviews.yandex.ru/user/yn6knj6gfducr6pwxnvuu3tujm,"!'\'""\""><h1>...",https://avatars.mds.yandex.net/get-yapic/41409/enc-7efe465cbbad022741327fffc614c4000bb394c61243b08c124e76fceda2e066/normal
8,2014.12,2014,12,https://reviews.yandex.ru/user/ba6kdxqzc95kpryn75pbeakv3r,pbssubhash,https://avatars.mds.yandex.net/get-yapic/0/0-0/normal
9,2014.12,2014,12,https://reviews.yandex.ru/user/cc6ym1pztk5r264nn67eyn1mjc,markserg2014,https://avatars.mds.yandex.net/get-yapic/0/0-0/normal
10,2014.12,2014,12,https://reviews.yandex.ru/user/ua1dc6qweuh4x7zbgzjjd5a79c,C37HUN,https://avatars.mds.yandex.net/get-yapic/0/0-0/normal
11,2014.12,2014,12,https://reviews.yandex.ru/user/xzptty5ad6mmcy91xme1cgxxr0,Anatoly,https://avatars.mds.yandex.net/get-yapic/0/0-0/normal
12,2014.12,2014,12,https://reviews.yandex.ru/user/c0pawaktxzueky65repf960y7m,Deepak Kivande,https://avatars.mds.yandex.net/get-yapic/25358/OuBLmltXuQy9iDbWBsf3SoHKgI-1/normal
13,2014.12,2014,12,https://reviews.yandex.ru/user/u793wbwtmp98bahv14jc7f85h4,Сергей,https://avatars.mds.yandex.net/get-yapic/21493/enc-8944baff31052a38340a04ae113dcfc1/normal
14,2014.12,2014,12,https://reviews.yandex.ru/user/v7v2cwrefpu0kuqrkccjdecjz0,Кирилл Ермаков,https://avatars.mds.yandex.net/get-yapic/20706/enc-b42823171a8016044d61481dcae2e8e1ef2225aff6a621016f4dccad990b5d3e/normal
15,2014.12,2014,12,https://reviews.yandex.ru/user/z35cn7nvz5r4z883ka5a1uxn18,wallarm,https://avatars.mds.yandex.net/get-yapic/24700/enc-8c36829d9edc704e6e02e4d855277b808e430d4567da84469f357aab822d23fa/normal
